染色		{'dyeing':1.0}	{'dyeing': 3684}	dyeing
微球墨水		{'microsphere printing ink':1.0}	{'microsphere printing ink': 0}	microsphere printing ink
细观建模	{'细观模型':0.6,'细观建模':0.4}	{'mesoscopic model':1.0}	{'mesoscopic model': 0}	mesoscopic model
硝酸咪康唑		{'miconazole nitrate':1.0}	{'miconazole nitrate': 4}	miconazole nitrate
金属蛋白催化剂		{'metalloprotein catalyst':1.0}	{'metalloprotein catalyst': 0}	metalloprotein catalyst
亲金属离子性		{'metallophilicity':1.0}	{'metallophilicity': 0}	metallophilicity
金属纽扣		{'metal buttons':1.0}	{'metal buttons': 0}	metal buttons
中压蒸汽		{'medium pressure steam':1.0}	{'medium pressure steam': 0}	medium pressure steam
医用护理垫		{'medical nursing pad':1.0}	{'medical nursing pad': 0}	medical nursing pad
最大芯吸高度		{'maximum wicking height':1.0}	{'maximum wicking height': 0}	maximum wicking height
材料表面与界面		{'material surface and interface':1.0}	{'material surface and interface': 0}	material surface and interface
Mat Lab仿真		{'mat lab simulation':1.0}	{'mat lab simulation': 0}	mat lab simulation
主从遥操作		{'master-slave teleoperation':1.0}	{'master-slave teleoperation': 0}	master-slave teleoperation
质量流量控制器		{'mass flow controller':1.0}	{'mass flow controller': 0}	mass flow controller
质量浓度因子		{'concentration factor':1.0}	{'concentration factor': 0}	concentration factor
马尔科夫模型		{'markov model':1.0}	{'markov model': 0}	markov model
马来酸酐变性淀粉		{'maleic anhydride modified starch':1.0}	{'maleic anhydride modified starch': 0}	maleic anhydride modified starch
主流烟气		{'mainstream smoke':1.0}	{'mainstream smoke': 5}	mainstream smoke
Mahalanobis距离	{'马氏距离':0.5,'Mahalanobis距离':0.5}	{'mahalanobis distance':1.0}	{'mahalanobis distance': 0}	mahalanobis distance
磁场发生器		{'magnetic field generator':1.0}	{'magnetic field generator': 0}	magnetic field generator
Lyapunov-Krasovskii泛函		{'lyapunov-krasovskii functional':1.0}	{'lyapunov-krasovskii functional': 0}	lyapunov-krasovskii functional
耗散模量	{'损耗模量':0.5,'耗散模量':0.5}	{'loss modulus':1.0}	{'loss modulus': 9}	loss modulus
洛伦兹力		{'lorentz force':1.0}	{'lorentz force': 9}	lorentz force
疏松纳滤膜		{'loose nanofiltration membrane':1.0}	{'loose nanofiltration membrane': 14}	loose nanofiltration membrane
纵向刚度		{'longitudinal stiffness':1.0}	{'longitudinal stiffness': 0}	longitudinal stiffness
纵截面曲线		{'longitudinal section curve':1.0}	{'longitudinal section curve': 0}	longitudinal section curve
Logit模型		{'logit model':1.0}	{'logit model': 0}	logit model
Logistic映射		{'logistic mapping':1.0}	{'logistic mapping': 0}	logistic mapping
Log-Gabor滤波器		{'log-gabor filter':1.0}	{'log-gabor filter': 0}	log-gabor filter
地方性知识		{'local knowledge':1.0}	{'local knowledge': 0}	local knowledge
局部二进制模式	{'局部二值模式':0.66667,'局部二进制模式':0.33333}	{'local binary pattern':1.0}	{'local binary pattern': 8}	local binary pattern
加载过滤		{'loading filtration':1.0}	{'loading filtration': 0}	loading filtration
LMBP神经网络		{'lmbp neural network':1.0}	{'lmbp neural network': 0}	lmbp neural network
液/固吸附		{'liquid/solid adsorption':1.0}	{'liquid/solid adsorption': 0}	liquid/solid adsorption
液体火箭推进剂		{'liquid rocket propellants':1.0}	{'liquid rocket propellants': 0}	liquid rocket propellants
线性阵列		{'linear array':1.0}	{'linear array': 0}	linear array
线性烷基苯磺酸盐		{'linear alkylbenzene sulfonates':1.0}	{'linear alkylbenzene sulfonates': 5}	linear alkylbenzene sulfonates
光切成像	{'光学成像':0.6,'光切成像':0.4}	{'optical imaging':1.0}	{'optical imaging': 252}	optical imaging
Lie对称性		{'lie symmetry':1.0}	{'lie symmetry': 0}	lie symmetry
皮革制鞋		{'leather shoes':1.0}	{'leather shoes': 0}	leather shoes
最小二乘原理		{'least squares principle':1.0}	{'least squares principle': 0}	least squares principle
洗染业		{'laundry and dyeing industry':1.0}	{'laundry and dyeing industry': 0}	laundry and dyeing industry
拉普拉斯方程		{"laplace's equation":1.0}	{"laplace's equation": 0}	laplace's equation
山水图案		{'landscape patterns':1.0}	{'landscape patterns': 0}	landscape patterns
漆酶基因		{'laccase gene':1.0}	{'laccase gene': 0}	laccase gene
苦丁茶		{'broadleaf holly leaf':1.0}	{'broadleaf holly leaf': 0}	broadleaf holly leaf
Kronecker叉积	{'Kronecker积':0.8,'Kronecker叉积':0.2}	{'kronecker product':1.0}	{'kronecker product': 0}	kronecker product
知识溢出		{'knowledge spillover':1.0}	{'knowledge spillover': 0}	knowledge spillover
知识交流		{'knowledge communication':1.0}	{'knowledge communication': 0}	knowledge communication
关节设计		{'joint design':1.0}	{'joint design': 0}	joint design
工作倦怠		{'job burnout':1.0}	{'job burnout': 0}	job burnout
晋剧		{'jin opera':1.0}	{'jin opera': 0}	jin opera
异山梨醇		{'isosorbide':1.0}	{'isosorbide': 19}	isosorbide
离子迁移谱		{'ion mobility spectrometry':1.0}	{'ion mobility spectrometry': 6}	ion mobility spectrometry
隐形省道		{'invisible dart':1.0}	{'invisible dart': 0}	invisible dart
血管内支架		{'intravascular stent':1.0}	{'intravascular stent': 0}	intravascular stent
身袖交叉点		{'intersection of body and sleeve':1.0}	{'intersection of body and sleeve': 0}	intersection of body and sleeve
域间路由系统		{'inter-domain routing system':1.0}	{'inter-domain routing system': 0}	inter-domain routing system
知识产权素养		{'intellectual property literacy':1.0}	{'intellectual property literacy': 0}	intellectual property literacy
瞬时断头		{'instantaneous breakage':1.0}	{'instantaneous breakage': 0}	instantaneous breakage
检验检测企业		{'inspection and testing enterprise':1.0}	{'inspection and testing enterprise': 0}	inspection and testing enterprise
红外透过率		{'infrared transmittance':1.0}	{'infrared transmittance': 21}	infrared transmittance
信息增益		{'information gain':1.0}	{'information gain': 0}	information gain
切口敏感性		{'notch sensitivity':1.0}	{'notch sensitivity': 0}	notch sensitivity
北宋初		{'early northern song dynasty':1.0}	{'early northern song dynasty': 0}	early northern song dynasty
杂质识别		{'impurity recognition':1.0}	{'impurity recognition': 0}	impurity recognition
即时效应		{'time-effect':1.0}	{'time-effect': 0}	time-effect
图像修补		{'image inpainting':1.0}	{'image inpainting': 4}	image inpainting
iBeacon技术		{'ibeacon technology':1.0}	{'ibeacon technology': 0}	ibeacon technology
羟丙基瓜尔胶		{'hydroxypropyl guar gum':1.0}	{'hydroxypropyl guar gum': 9}	hydroxypropyl guar gum
亲水性聚酯		{'hydrophilic polyester':1.0}	{'hydrophilic polyester': 0}	hydrophilic polyester
氢化羧基丁腈橡胶		{'hydrogenated carboxyl nitrile rubber':1.0}	{'hydrogenated carboxyl nitrile rubber': 0}	hydrogenated carboxyl nitrile rubber
氢能源	{'氢能源':0.5,'氢能':0.5}	{'hydrogen energy':1.0}	{'hydrogen energy': 70}	hydrogen energy
水力压裂		{'hydraulic fracturing':1.0}	{'hydraulic fracturing': 29}	hydraulic fracturing
人体机械能		{'human body mechanical energy':1.0}	{'human body mechanical energy': 0}	human body mechanical energy
热熔浆纱机		{'hot melt sizing machine':1.0}	{'hot melt sizing machine': 0}	hot melt sizing machine
齐次扩容		{'homogeneous dilatancy':1.0}	{'homogeneous dilatancy': 0}	homogeneous dilatancy
空心锭结构		{'hollow spindle structure':1.0}	{'hollow spindle structure': 0}	hollow spindle structure
中空咖啡碳聚酯纤维		{'hollow coffee carbon polyester':1.0}	{'hollow coffee carbon polyester': 3}	hollow coffee carbon polyester
中空咖啡碳纤维		{'hollow coffee carbon fiber':1.0}	{'hollow coffee carbon fiber': 0}	hollow coffee carbon fiber
中空黏胶纤维		{'hollow viscose fiber':1.0}	{'hollow viscose fiber': 0}	hollow viscose fiber
高速钢领和钢丝圈		{'hi-speed ring and traveller':1.0}	{'hi-speed ring and traveller': 0}	hi-speed ring and traveller
高中空结构		{'highly hollow structure':1.0}	{'highly hollow structure': 0}	highly hollow structure
异色纤维		{'heterochromatic fiber':1.0}	{'heterochromatic fiber': 0}	heterochromatic fiber
疝气修补网片		{'hernia repair mesh':1.0}	{'hernia repair mesh': 0}	hernia repair mesh
海娜	{'指甲花':0.5,'海娜':0.5}	{'henna':1.0}	{'henna': 21}	henna
大麻秆纤维素醚		{'hemp pole cellulose ether':1.0}	{'hemp pole cellulose ether': 0}	hemp pole cellulose ether
热转印墨水		{'heat transfer ink':1.0}	{'heat transfer ink': 0}	heat transfer ink
头尾丝		{'head and tail wire':1.0}	{'head and tail wire': 0}	head and tail wire
汉剧戏服		{'han drama costume':1.0}	{'han drama costume': 0}	han drama costume
汉锦		{'han brocade':1.0}	{'han brocade': 0}	han brocade
广东客家服饰		{'guangdong hakka clothing':1.0}	{'guangdong hakka clothing': 0}	guangdong hakka clothing
葡萄色素		{'grape pigment':1.0}	{'grape pigment': 0}	grape pigment
金段子		{'jinduanzi':1.0}	{'jinduanzi': 0}	jinduanzi
明胶铜配合物		{'gelatin copper complexes':1.0}	{'gelatin copper complexes': 0}	gelatin copper complexes
模糊优化设计		{'fuzzy optimization design':1.0}	{'fuzzy optimization design': 0}	fuzzy optimization design
模糊核聚类		{'fuzzy kernel clustering':1.0}	{'fuzzy kernel clustering': 0}	fuzzy kernel clustering
模糊熵		{'fuzzy entropy':1.0}	{'fuzzy entropy': 0}	fuzzy entropy
功能内裤	{'功能内裤':0.5,'功能内衣':0.5}	{'functional underwear':1.0}	{'functional underwear': 4}	functional underwear
全自动收花机		{'automatic knitting machine':1.0}	{'automatic knitting machine': 0}	automatic knitting machine
全显技术组织		{'full-color weave':1.0}	{'full-color weave': 3}	full-color weave
Frangi滤波器		{'frangi filter':1.0}	{'frangi filter': 0}	frangi filter
傅立叶描述子	{'傅里叶描述子':0.6,'傅立叶描述子':0.4}	{'fourier descriptor':1.0}	{'fourier descriptor': 0}	fourier descriptor
正渗透膜		{'forward osmosis membrane':1.0}	{'forward osmosis membrane': 98}	forward osmosis membrane
足部特征		{'foot feature':1.0}	{'foot feature': 0}	foot feature
食品工厂设计		{'food factory design':1.0}	{'food factory design': 0}	food factory design
民俗色彩文化		{'folk color culture':1.0}	{'folk color culture': 0}	folk color culture
叶酸		{'folic acid':1.0}	{'folic acid': 123}	folic acid
雾聚合		{'mist polymerization':1.0}	{'mist polymerization': 5}	mist polymerization
Fluent仿真		{'fluent simulation':1.0}	{'fluent simulation': 0}	fluent simulation
柔性锂电池		{'flexible lithium battery':1.0}	{'flexible lithium battery': 4}	flexible lithium battery
平面四轴向机织物		{'tetra-axial fabric':1.0}	{'tetra-axial fabric': 0}	tetra-axial fabric
闪光扁平聚酯纤维		{'iridescent flat polyester':1.0}	{'iridescent flat polyester': 0}	iridescent flat polyester
五区弹簧床垫		{'five-zone spring mattress':1.0}	{'five-zone spring mattress': 0}	five-zone spring mattress
鱼骨图		{'fishbone diagram':1.0}	{'fishbone diagram': 0}	fishbone diagram
纤维物证		{'fiber material evidence':1.0}	{'fiber material evidence': 0}	fiber material evidence
分宜夏布		{'fenyi grass cloth':1.0}	{'fenyi grass cloth': 0}	fenyi grass cloth
类Fenton催化剂		{'fenton-like catalyst':1.0}	{'fenton-like catalyst': 10}	fenton-like catalyst
凤翔泥塑		{'fengxiang clay sculpture':1.0}	{'fengxiang clay sculpture': 0}	fengxiang clay sculpture
喂纱比		{'run-in ratio':1.0}	{'run-in ratio': 0}	run-in ratio
FastICA算法		{'fastica algorithm':1.0}	{'fastica algorithm': 0}	fastica algorithm
著名油画作品		{'the famous oil paintings':1.0}	{'the famous oil paintings': 0}	the famous oil paintings
跌倒检测	{'摔倒检测':0.5,'跌倒检测':0.5}	{'fall detection':1.0}	{'fall detection': 3}	fall detection
织物肌理效应		{'fabric texture effect':1.0}	{'fabric texture effect': 3}	fabric texture effect
织物网格		{'fabric mesh':1.0}	{'fabric mesh': 0}	fabric mesh
F-12芳纶织物		{'f-12 aramid fabric':1.0}	{'f-12 aramid fabric': 0}	f-12 aramid fabric
特粗支纱		{'coarse yarn':1.0}	{'coarse yarn': 0}	coarse yarn
试验段		{'test section':1.0}	{'test section': 0}	test section
运动循环图		{'motion cycle chart':1.0}	{'motion cycle chart': 0}	motion cycle chart
卓越工程师培养模式		{'excellent engineer training mode':1.0}	{'excellent engineer training mode': 0}	excellent engineer training mode
考试模式		{'examination mode':1.0}	{'examination mode': 0}	examination mode
进化博弈	{'演化博弈':0.6,'进化博弈':0.4}	{'evolutionary game':1.0}	{'evolutionary game': 0}	evolutionary game
Euler-Bernoulli梁理论		{'euler-bernoulli beam theory':1.0}	{'euler-bernoulli beam theory': 0}	euler-bernoulli beam theory
ET2000系统		{'et2000 system':1.0}	{'et2000 system': 0}	et2000 system
食管覆膜支架		{'esophageal covered stent':1.0}	{'esophageal covered stent': 0}	esophageal covered stent
等效扭矩		{'equivalent torque':1.0}	{'equivalent torque': 0}	equivalent torque
等效模型		{'equivalent model':1.0}	{'equivalent model': 0}	equivalent model
表观模拟		{'surface simulation':1.0}	{'surface simulation': 0}	surface simulation
酶解速率	{'酶水解':0.6,'酶解速率':0.4}	{'enzymatic hydrolysis':1.0}	{'enzymatic hydrolysis': 1085}	enzymatic hydrolysis
企业基型		{'corporation-basic-pattern':1.0}	{'corporation-basic-pattern': 0}	corporation-basic-pattern
入园办学		{'running school by entering the enterprise park':1.0}	{'running school by entering the enterprise park': 0}	running school by entering the enterprise park
延喜式		{'engishiki':1.0}	{'engishiki': 0}	engishiki
工程设计图学		{'engineering design graphics':1.0}	{'engineering design graphics': 0}	engineering design graphics
能源管理体系	{'能源管理体系':0.5,'能源管理系统':0.5}	{'energy management system':1.0}	{'energy management system': 0}	energy management system
乳化活性		{'emulsifying activity':1.0}	{'emulsifying activity': 21}	emulsifying activity
就业力		{'employment ability':1.0}	{'employment ability': 0}	employment ability
刺绣布艺		{'embroidery cloth art':1.0}	{'embroidery cloth art': 0}	embroidery cloth art
电子花筒		{'electronic jacquard cylinder':1.0}	{'electronic jacquard cylinder': 0}	electronic jacquard cylinder
电锭驱动管理技术		{'motor-driven spindle system':1.0}	{'motor-driven spindle system': 0}	motor-driven spindle system
弹性杆理论		{'elastic theory':1.0}	{'elastic theory': 3}	elastic theory
埃及图案		{'egyptian pattern':1.0}	{'egyptian pattern': 0}	egyptian pattern
有效导热系数		{'effective thermal conductivity':1.0}	{'effective thermal conductivity': 35}	effective thermal conductivity
有效纤维长度		{'effective fiber length':1.0}	{'effective fiber length': 0}	effective fiber length
生态足迹		{'ecological footprint':1.0}	{'ecological footprint': 3}	ecological footprint
动态服装结构		{'dynamic clothing structure':1.0}	{'dynamic clothing structure': 0}	dynamic clothing structure
染土改性		{'modified dyed earth':1.0}	{'modified dyed earth': 0}	modified dyed earth
染色整理同浴		{'dyeing and finishing in one bath':1.0}	{'dyeing and finishing in one bath': 0}	dyeing and finishing in one bath
耐穿用性	{'耐久性':0.70192,'耐用性':0.15385,'耐洗性':0.03846,'硬度':0.02885,'耐久':0.01923,'耐久性能':0.01923,'耐用性能':0.01923,'耐磨性':0.01923}	{'durability':1.0}	{'durability': 2067}	durability
烘房风管		{'drying room duct':1.0}	{'drying room duct': 0}	drying room duct
烘干模式		{'drying mode':1.0}	{'drying mode': 0}	drying mode
干纱缠绕		{'non-resin winding':1.0}	{'non-resin winding': 0}	non-resin winding
落纱长度		{'doffing length':1.0}	{'doffing length': 0}	doffing length
双面大衣呢		{'double-faced overcoating':1.0}	{'double-faced overcoating': 0}	double-faced overcoating
双二步法		{'double two-step':1.0}	{'double two-step': 0}	double two-step
双层斜编织物		{'braided fabrics with double structure':1.0}	{'braided fabrics with double structure': 0}	braided fabrics with double structure
捐赠纺织品		{'donated textiles':1.0}	{'donated textiles': 0}	donated textiles
DLC涂层		{'dlc coating':1.0}	{'dlc coating': 0}	dlc coating
分综		{'separating heddles':1.0}	{'separating heddles': 0}	separating heddles
分布律		{'distribution law':1.0}	{'distribution law': 3}	distribution law
分散红277		{'disperse red 277':1.0}	{'disperse red 277': 0}	disperse red 277
辨别阈值		{'discrimination threshold':1.0}	{'discrimination threshold': 4}	discrimination threshold
直接填充法		{'direct filling method':1.0}	{'direct filling method': 0}	direct filling method
二聚酸二异氰酸酯		{'dimer acid diisocyanate':1.0}	{'dimer acid diisocyanate': 0}	dimer acid diisocyanate
数字加网		{'digital screening':1.0}	{'digital screening': 0}	digital screening
吊敦		{'diaodun':1.0}	{'diaodun': 0}	diaodun
反同步		{'anti-synchronization':1.0}	{'anti-synchronization': 0}	anti-synchronization
设计资源管理		{'design resource management':1.0}	{'design resource management': 0}	design resource management
导数分光光度法		{'derivative spectrophotometry':1.0}	{'derivative spectrophotometry': 8}	derivative spectrophotometry
相依竞争失效		{'dependent competition failure':1.0}	{'dependent competition failure': 0}	dependent competition failure
义齿基托		{'denture base':1.0}	{'denture base': 0}	denture base
树形分子	{'树枝状聚合物':0.6,'树形分子':0.4}	{'dendrimers':1.0}	{'dendrimers': 761}	dendrimers
降解流变行为		{'degradation-rheological behavior':1.0}	{'degradation-rheological behavior': 0}	degradation-rheological behavior
偏折角		{'deflective angle':1.0}	{'deflective angle': 0}	deflective angle
缺陷肌理		{'defect texture':1.0}	{'defect texture': 0}	defect texture
决策算法		{'decision algorithm':1.0}	{'decision algorithm': 0}	decision algorithm
达布变换		{'darboux transformation':1.0}	{'darboux transformation': 0}	darboux transformation
圆柱度	{'圆度':0.5,'圆整度':0.3,'圆柱度':0.2}	{'roundness':1.0}	{'roundness': 3}	roundness
布谷鸟算法		{'cuckoo algorithm':1.0}	{'cuckoo algorithm': 0}	cuckoo algorithm
结晶纤维网络结构		{'crystal-fiber network structure':1.0}	{'crystal-fiber network structure': 0}	crystal-fiber network structure
临界弯曲载荷		{'critical bending load':1.0}	{'critical bending load': 0}	critical bending load
工艺编织矩阵		{'knitting matrix':1.0}	{'knitting matrix': 0}	knitting matrix
类沸石咪唑骨架材料		{'zeolitc imidazolate framework material':1.0}	{'zeolitc imidazolate framework material': 0}	zeolitc imidazolate framework material
成本预算		{'cost budget':1.0}	{'cost budget': 0}	cost budget
哥氏惯性力		{'coriolis force':1.0}	{'coriolis force': 3}	coriolis force
铜离子改性涤纶纤维		{'copper ion modified polyester fiber':1.0}	{'copper ion modified polyester fiber': 0}	copper ion modified polyester fiber
连续微滤		{'continuous microfiltration':1.0}	{'continuous microfiltration': 0}	continuous microfiltration
水性上光油		{'waterborne glazing agent':1.0}	{'waterborne glazing agent': 0}	waterborne glazing agent
经编双轴向织物		{'bi-axial warp knitted fabric':1.0}	{'bi-axial warp knitted fabric': 0}	bi-axial warp knitted fabric
导电墨水	{'导电油墨':0.6,'导电墨水':0.4}	{'conductive ink':1.0}	{'conductive ink': 60}	conductive ink
緟		{'緟':1.0}	{'緟': 0}	緟
压缩衣		{'compression garment':1.0}	{'compression garment': 18}	compression garment
综蹑织机		{'harness-treadle loom':1.0}	{'harness-treadle loom': 0}	harness-treadle loom
超声辅助分散液液微萃取		{'ultrasonic assisted dispersive liquid-liquid microextraction':1.0}	{'ultrasonic assisted dispersive liquid-liquid microextraction': 0}	ultrasonic assisted dispersive liquid-liquid microextraction
复合相变纤维膜		{'composite phase change fibrous membrane':1.0}	{'composite phase change fibrous membrane': 0}	composite phase change fibrous membrane
复合皮毛一体面料		{'composite fur fabric':1.0}	{'composite fur fabric': 0}	composite fur fabric
溢彩纱		{'ambilight yarn':1.0}	{'ambilight yarn': 0}	ambilight yarn
亚硫酸盐还原梭状芽孢杆菌		{'sulfite-reducing clostridia':1.0}	{'sulfite-reducing clostridia': 0}	sulfite-reducing clostridia
色彩转移		{'color transfer':1.0}	{'color transfer': 6}	color transfer
挤干辊		{'extrusion roller':1.0}	{'extrusion roller': 0}	extrusion roller
彩色共聚物微球		{'colored copolymer microsphere':1.0}	{'colored copolymer microsphere': 0}	colored copolymer microsphere
Sorona纤维		{'sorona fiber':1.0}	{'sorona\ue3eb fiber': 0}	sorona fiber
色貌模型		{'color appearance model':1.0}	{'color appearance model': 20}	color appearance model
碰撞射流通风		{'impinging jet ventilation':1.0}	{'impinging jet ventilation': 0}	impinging jet ventilation
集合纺纱		{'collecting-spinning':1.0}	{'collecting-spinning': 0}	collecting-spinning
冷接触		{'cold contact':1.0}	{'cold contact': 0}	cold contact
线圈长度模型		{'loop length model':1.0}	{'loop length model': 0}	loop length model
舒弹丝?		{'sustans®':1.0}	{'sustans®': 0}	sustans®
外套式连衣裙		{'coat dress':1.0}	{'coat dress': 0}	coat dress
塑身腰封		{'body shaping waist seal':1.0}	{'body shaping waist seal': 0}	body shaping waist seal
粗旦茧丝		{'coarse denier silk':1.0}	{'coarse denier silk': 0}	coarse denier silk
红藤		{'red rattan':1.0}	{'red rattan': 0}	red rattan
服饰图案工艺		{'clothing pattern technology':1.0}	{'clothing pattern technology': 0}	clothing pattern technology
蒲黄		{'cattail pollen':1.0}	{'cattail pollen': 0}	cattail pollen
服装淘汰		{'clothing elimination':1.0}	{'clothing elimination': 0}	clothing elimination
聚纤纺	{'集聚纺':0.89091,'集聚纺纱':0.07273,'聚纤纺':0.03636}	{'condensed spinning':1.0}	{'condensed spinning': 0}	condensed spinning
平埔族		{'pingpu ethnic groups':1.0}	{'pingpu ethnic groups': 0}	pingpu ethnic groups
古典知识库		{'classical knowledge repository':1.0}	{'classical knowledge repository': 0}	classical knowledge repository
果胶酶产生菌		{'pectinase-producing strain':1.0}	{'pectinase-producing strain': 0}	pectinase-producing strain
圈圈密度		{'coil density':1.0}	{'coil density': 0}	coil density
重庆蜀绣		{'chongqing shu embroidery':1.0}	{'chongqing shu embroidery': 0}	chongqing shu embroidery
含氯苯酚类化合物	{'含氯苯酚':0.77778,'含氯苯酚类化合物':0.22222}	{'chlorinated phenols':1.0}	{'chlorinated phenols': 4}	chlorinated phenols
壳聚糖树脂		{'chitosan resin':1.0}	{'chitosan resin': 0}	chitosan resin
中国风时装		{'chinese style fashion':1.0}	{'chinese style fashion': 0}	chinese style fashion
外封闭层		{'outer closure layer':1.0}	{'outer closure layer': 0}	outer closure layer
鸡矢藤纤维		{'paederia scandense merrill fiber':1.0}	{'paederia scandense merrill fiber': 0}	paederia scandense merrill fiber
特征肽段		{'characteristic peptide':1.0}	{'characteristic peptide': 0}	characteristic peptide
非制冷		{'uncooled':1.0}	{'uncooled': 0}	uncooled
阳离子聚乙烯醇		{'cationic poly(vinyl alcohol)':1.0}	{'cationic poly(vinyl alcohol)': 0}	cationic poly(vinyl alcohol)
阳离子瓜尔胶		{'cationic guar gum':1.0}	{'cationic guar gum': 13}	cationic guar gum
梓树果实		{'catalpa fruit':1.0}	{'catalpa fruit': 0}	catalpa fruit
羊绒及其混纺围巾		{'pure and blended cashmere scarf':1.0}	{'pure and blended cashmere scarf': 0}	pure and blended cashmere scarf
络交机构		{'traverse mechanism':1.0}	{'traverse mechanism': 0}	traverse mechanism
颈动脉窦		{'carotid sinus':1.0}	{'carotid sinus': 0}	carotid sinus
纳米出版物		{'nanopublication':1.0}	{'nanopublication': 0}	nanopublication
木质素磺酸钙		{'calcium lignosulfonate':1.0}	{'calcium lignosulfonate': 10}	calcium lignosulfonate
海藻酸钙短纤维		{'calcium alginate staple fiber':1.0}	{'calcium alginate staple fiber': 0}	calcium alginate staple fiber
C70高性能梳棉机		{'c70 high-performance card':1.0}	{'c70 high-performance card': 0}	c70 high-performance card
荷秆		{'lotus stalks':1.0}	{'lotus stalks': 0}	lotus stalks
品牌概念地图		{'brand concept map':1.0}	{'brand concept map': 0}	brand concept map
支风道		{'branch duct':1.0}	{'branch duct': 0}	branch duct
布拉门特纤维		{'bramante fiber':1.0}	{'bramante fiber': 0}	bramante fiber
辫绣		{'braid embroidery':1.0}	{'braid embroidery': 0}	braid embroidery
童子纹样	{'童子纹':0.5,'童子纹样':0.5}	{'boy pattern':1.0}	{'boy pattern': 0}	boy pattern
计盒法		{'box-counting method':1.0}	{'box-counting method': 9}	box-counting method
线性自抗扰		{'ladrc':1.0}	{'ladrc': 0}	ladrc
增压泵		{'booster pump':1.0}	{'booster pump': 0}	booster pump
布尔运算		{'boolean operation':1.0}	{'boolean operation': 0}	boolean operation
盟旗制度		{'mengqi system':1.0}	{'mengqi system': 0}	mengqi system
贴体样板		{'fitted pattern':1.0}	{'fitted pattern': 0}	fitted pattern
蓝染服装		{'blue dyed clothing':1.0}	{'blue dyed clothing': 0}	blue dyed clothing
盲鳗		{'hagfish':1.0}	{'hagfish': 0}	hagfish
混合式实践教学		{'mixed practical learning':1.0}	{'mixed practical learning': 0}	mixed practical learning
离子交换特性		{'ion exchange property':1.0}	{'ion exchange property': 3}	ion exchange property
红茶色素		{'black tea pigment':1.0}	{'black tea pigment': 0}	black tea pigment
黑白影光		{'black-and-white shading':1.0}	{'black-and-white shading': 0}	black-and-white shading
生物医用纤维		{'biomedical fiber':1.0}	{'biomedical fiber': 0}	biomedical fiber
网红营销		{'online celebrity marketing':1.0}	{'online celebrity marketing': 0}	online celebrity marketing
大襟袄		{'chinese-style padded coat':1.0}	{'chinese-style padded coat': 0}	chinese-style padded coat
Better-Worse系数		{'better-worse coefficient':1.0}	{'better-worse coefficient': 0}	better-worse coefficient
基本电费		{'basic electricity cost':1.0}	{'basic electricity cost': 0}	basic electricity cost
香蕉皮		{'banana peel':1.0}	{'banana peel': 8}	banana peel
高速钢丝圈成型机床		{'forming machine of high-speed traveller':1.0}	{'forming machine of high-speed traveller': 0}	forming machine of high-speed traveller
竹文化		{'bamboo culture':1.0}	{'bamboo culture': 0}	bamboo culture
竹粘纤维	{'竹浆纤维':0.77778,'竹粘纤维':0.22222}	{'bamboo viscose fiber':1.0}	{'bamboo viscose fiber': 0}	bamboo viscose fiber
百菌清		{'chlorothalonil':1.0}	{'chlorothalonil': 0}	chlorothalonil
自主导航		{'autonomous navigation':1.0}	{'autonomous navigation': 0}	autonomous navigation
自动对焦		{'auto-focusing':1.0}	{'auto-focusing': 0}	auto-focusing
受众关注度		{'customer attention':1.0}	{'customer attention': 0}	customer attention
凹凸棒粘土	{'凹凸棒粘土':0.5,'凹凸棒土':0.5}	{'attapulgite clay':1.0}	{'attapulgite clay': 3}	attapulgite clay
关联数据		{'linked data':1.0}	{'linked data': 0}	linked data
力致变色		{'mechanochromic':1.0}	{'mechanochromic': 22}	mechanochromic
泡沫助剂		{'foam auxiliary':1.0}	{'foam auxiliary': 0}	foam auxiliary
袖窿夹角		{'armhole angle':1.0}	{'armhole angle': 0}	armhole angle
古菌		{'archaea':1.0}	{'archaea': 15}	archaea
定倾曲线		{'curve of constant inclination':1.0}	{'curve of constant inclination': 0}	curve of constant inclination
快递员		{'courier':1.0}	{'courier': 0}	courier
芡实壳		{'euryale shell':1.0}	{'euryale shell': 0}	euryale shell
电热材料		{'electrothermal material':1.0}	{'electrothermal material': 0}	electrothermal material
防针洞		{'anti-needle-hole':1.0}	{'anti-needle-hole': 0}	anti-needle-hole
圆盘法		{'the disc method':1.0}	{'the disc method': 0}	the disc method
斜纹波点		{'twill point':1.0}	{'twill point': 0}	twill point
南极磷虾蛋白		{'antarctic krill protein':1.0}	{'antarctic krill protein': 5}	antarctic krill protein
ANSYS有限元仿真		{'ansys finite element simulation':1.0}	{'ansys finite element simulation': 0}	ansys finite element simulation
角度度量		{'angle measurement':1.0}	{'angle measurement': 210}	angle measurement
安迪·沃霍尔		{'andy warhol':1.0}	{'andy warhol': 0}	andy warhol
棉/禾素混纺织物		{'cotton/phbv/pla blended fabric':1.0}	{'cotton/phbv/pla blended fabric': 0}	cotton/phbv/pla blended fabric
阿尔茨海默病		{"alzheimer's disease":1.0}	{"alzheimer's disease": 106}	alzheimer's disease
氧化铝纱线		{'alumina yarn':1.0}	{'alumina yarn': 0}	alumina yarn
交变循环		{'alternating cycle':1.0}	{'alternating cycle': 0}	alternating cycle
